n,mysort,qsort
2000,0.052600,0.001000
2200,0.057900,0.001000
2400,0.067000,0.001000
2600,0.081900,0.001000
2800,0.121500,0.000200
3000,0.136900,0.000200
3200,0.122700,0.000200
3400,0.139500,0.000000
3600,0.153100,0.000000
3800,0.166900,0.000000
4000,0.189000,0.000000
4200,0.199900,0.002000
4400,0.241400,0.000100
4600,0.249400,0.000100
4800,0.329100,0.000100
5000,0.340400,0.000000
5200,0.409500,0.000900
5400,0.408400,0.000700
5600,0.442700,0.000400
5800,0.484300,0.000800
6000,0.467600,0.000200
6200,0.502800,0.000600
6400,0.532500,0.000400
6600,0.564100,0.000900
6800,0.620900,0.000900
7000,0.607600,0.000500
7200,0.598800,0.000400
7400,0.662700,0.000100
7600,0.682900,0.000400
7800,0.706000,0.000100
8000,0.779000,0.000700
8200,0.850400,0.000600
8400,0.897400,0.001100
8600,0.880300,0.000400
8800,1.023800,0.000400
9000,0.997200,0.000300
9200,0.984100,0.003100
9400,1.020900,0.000000
9600,1.104300,0.000400
9800,1.174400,0.000300
10000,1.245900,0.000200
